Chicago - Humboldt Park,9/15/2025 3:47pm,09-15 Chicago - Humboldt Park-Central Park Ave and Hirsch,9/15/2025 2:45pm,Monday,8AM-4PM,,Reported on social media with photo - presence of ICE at Central and Hirsch by North Av,Central Park Ave and Hirsch,"ICE Sighting, Rumors",,,,,,,,External,,
West Chicago,9/15/2025 3:25pm,09-15 West Chicago-S Oak St,9/15/2025 3:24pm,Monday,8AM-4PM,,Video posted on social media from S Oak St in West Chicago appearing to show agents moving through the neighborhood.,S Oak St,"ICE Sighting, Rumors",,,,,,,,External,,
Chicago - Midway,9/15/2025 3:19pm,09-15 Chicago - Midway-Archer and Mobile,9/15/2025 3:08pm,Monday,8AM-4PM,,Report from social media post that ICE agents were present in the parking lot of Bank of America at Archer and Mobile. RRT does not appear to have responded.,Archer and Mobile,"ICE Sighting, Rumors",,,Chicago SWS,,,,,External,,
Chicago - Lakeview,9/15/2025 3:19pm,09-15 Chicago - Lakeview-1802 W Addison,9/15/2025 2:30pm,Monday,8AM-4PM,,"FSN: ""Two men in vests and uniform spotted at 8:30am, caller did not approach, Addison brown line (1802 W Addison St, Chicago, IL 60613)""",1802 W Addison,"ICE Sighting, Rumors",,,,,,,,FSN,,
West Chicago,9/15/2025 3:15pm,"09-15 West Chicago-813 Main St, West Chicago, IL 60185",9/15/2025 3:15pm,Monday,8AM-4PM,,"From SW Side RRT - video shows someone being detailed by officers with vests that say ""POLICE."" Three black SUVs, license plates not visible in video. Confirmed by RRT to be at Main Park Apartments with one person detained.","813 Main St, West Chicago, IL 60185","ICE Sighting, Home Raid",,,Chicago SWS,1,checked,,,RRT,,
Chicago - Trumbull Park,9/15/2025 2:52pm,09-15 Chicago - Trumbull Park-106th and Avenue M,9/15/2025 2:52pm,Monday,8AM-4PM,,"RRT: ""There are social media reports going around of agents near 106th & Avenue M, but that appears to just be CPD detectives working on a shooting case from last night.""",106th and Avenue M,"False, ICE Sighting",,,Pullman,,checked,,,RRT,,
Orland Park,9/15/2025 2:52pm,09-15 Orland Park-14450 La Grange Rd,9/15/2025 2:52pm,Monday,8AM-4PM,,"FSN: ""Presence of ICE since last Thursday, and today they returned. They are just watching for people to leave the apartments so they can arrest someone. The person who called says it's the apartments in front of El Pueblito restaurant. The agents are in the parking lot of the restaurant."" RRT responded and reported clear.",14450 La Grange Rd,"ICE Sighting, Rumors",,,SW Suburbs,,checked,,,FSN,,
Chicago,9/15/2025 2:49pm,09-15 Chicago-555 W. Harrison,9/15/2025 2:30pm,Monday,8AM-4PM,,2 cars on the east side ,555 W. Harrison,"ICE Sighting, Rumors",,,,,,,,FSN,,
"Chicago, 60607",9/15/2025 2:39pm,"09-15 Chicago, 60607-555 W Harrison",9/15/2025 2:00pm,Monday,8AM-4PM,,ICE is at the Domestic Violence courthouse,555 W Harrison,Rumors,,,,,,,,RRT,,
Belmont-Cragin,9/15/2025 2:39pm,09-15 Belmont-Cragin-Central Ave. and Marnie's and Fullerton,9/15/2025 1:50pm,Monday,12AM-8AM,,Two reports for ice sighting in Belmont Craigan area. One by Jorge Prieto school on central ave. They were in the parking lot around 7:50am this morning. 2nd report Another one by Marnie’s and Fullerton. 4 ford SUVs stopped a car around 8:05am,Central Ave. and Marnie's and Fullerton,"Rumors, ICE Sighting",,,,,,,Ford SUVs,FSN,,
Winfield,9/15/2025 2:24pm,09-15 Winfield-Lester and 59,9/15/2025 2:24pm,Monday,8AM-4PM,,"ICE agents blocking streets by a school, huge numbers of agents everywhere making random stops and blocking roads, ""whole town is crawling"" with agents",Lester and 59,"ICE Sighting, Public Space Raid",,,,,,,"dark grey Dodge Durango, North Carolina plates VAB 4009",RRT,,
Belmont-Cragin,9/15/2025 2:19pm,09-15 Belmont-Cragin-fullerton and marmora,9/15/2025 2:19pm,Monday,8AM-4PM,,,fullerton and marmora,"ICE Sighting, Rumors",,,,,,,"grey mini station wagon, 4 doors",RRT,,
Dixmoor,9/15/2025 2:12pm,"09-15 Dixmoor-14700 Robey Ave, Dixmoor, IL 60426",9/15/2025 2:00pm,Monday,8AM-4PM,,"FSN: ""ice agents @ Rosa Parks middle school ongoing activity for parents to drop off and pick up kids 14700 Rovey ave Dixmore il 60426 helicptors sighted as well as the train staion metra miblothian down the street"" 

Blue Island RRT responded, confirmed via photos agents in ERO vests. Photo (attached) and video (https://www.facebook.com/share/v/19YZcAx3QD/) later shared on social media. 

From Blue Island RRT: ""It took place right outside Rosa Parks Middle School, but the school was unaware of it when a team member checked in, so it may not have involved a student's family like the caption said. We aren't sure. We have been unable to locate anybody who knows the person taken, and haven't found the car, but we have photo and video from this morning from multiple people that all lines up. The video has a clear look at some of the agents' vehicles.""

Later summary provided in activity chat:

""The Blue Island team (whose co-lead @Sara Oceguera is now in this chat) initially responded when this came in, and the Far South Side team followed up later. There was one person taken outside the school around 8:00AM, identity unknown. We only know for sure that they were taken because their car was left behind - Sara is trying to call in some favors to get family info from the plates so we can inform them and get them connected to resources. This happened on a busy street before the usual school dropoff rush, so we don't know whether it was actually related to the school, but school administrators were made aware of it by a member of the Blue Island team.

At least four agents, some masked and some unmasked, mostly generic ""POLICE"" vests but at least one ERO vest.

The vehicles involved in the operation were as follows:
White Jeep Grand Cherokee with Indiana plates 266EAW
Navy blue or black Ford Escape (plates unknown)
Black Ford Expedition with Indiana plates B65DAF or B650AF
Black Nissan Titan with Indiana plates [unreadable first character]5480PS

Helicopters reported in the same general area were likely unrelated, and were not present at the time of response or specifically investigated by the responders.""","14700 Robey Ave, Dixmoor, IL 60426","Public Space Raid, ICE Sighting",,,Blue Island,1,checked,,"White Jeep Grand Cherokee with Indiana plates 266EAW
Navy blue or black Ford Escape (plates unknown)
Black Ford Expedition with Indiana plates B65DAF or B650AF
Black Nissan Titan with Indiana plates [unreadable first character]5480PS",FSN,,
Chicago - Back of the Yards,9/15/2025 1:47pm,09-15 Chicago - Back of the Yards-47th and Western,9/15/2025 1:47pm,Monday,12AM-8AM,,caller just reported 47h and Western blv  two agents wearing green attire whats seems to be national guard unifom 1 person was detained and taken into the car caller did not give discription of the cars as they were fleing from sence Later tip received by SW team that ICE was still in the area and following cars (around 10:02am).,47th and Western,"Rumors, ICE Sighting",,,Chicago SWS,1,,,,FSN,,
Chicago - Cicero,9/15/2025 1:46pm,09-15 Chicago - Cicero-2803 S Cicero,9/15/2025 1:46pm,Monday,12AM-8AM,,ICE parked at Home Depot parking lot in Cicero - confirmed by RRT. What appears to be the same car also reported at the adjacent Panda Express parking lot (photo).,2803 S Cicero,ICE Sighting,,,Cicero/Berwyn,,checked,,Silver Ford Explorer - Virginia ZKM 6226,RRT,,
Chicago - Back of the Yards,9/15/2025 1:30pm,09-15 Chicago - Back of the Yards-47th and Western,9/15/2025 1:15pm,Monday,12AM-8AM,,One detainment reported on social media and confirmed by RRT.,47th and Western,"ICE Sighting, Public Space Raid",,,Chicago SWS,1,checked,,Black Jeep - Texas LTZ1161,External,,
Elgin,9/15/2025 1:27pm,09-15 Elgin-Highland and Douglas,9/15/2025 12:00pm,Monday,12AM-8AM,,"Social media post from ""trusted local reporter"" Shawn - at least 8 agents staging at large parking complex at Highland and Douglas in Elgin.",Highland and Douglas,"ICE Sighting, Rumors",,,Elgin,,,,,External,,
West Chicago,9/15/2025 1:24pm,09-15 West Chicago-Lester St and Neltnor,9/15/2025 12:30pm,Monday,12AM-8AM,,"Social media report of three people being detained in West Chicago. Report said agents using a white van, no license plate captured. Photos also show multiple black SUVs and a black sedan, no full license plates captured but one ends in 4009.",Lester St and Neltnor,ICE Sighting,,,DuPage,3,,,White van,External,,
Broadview,9/15/2025 3:13am,"09-12 Broadview-Edward Hines Jr. VA Hospital, 5000 5th Ave, Hines, IL 60141",9/12/2025 3:00am,Friday,4PM-12AM,,"FSN hotline:

ICE sighting right now at Edward Hines Jr. VA hospital. The are a lot of ICE agent cars parked in parking lot J.

The employee that works there said they will be there for 6 weeks. They have been harassing the veterans and employees there. They said that they need to have their passports as proof of identity. They said anything else can be forged. There are veterans there that are undocumented. The staff is advising everyone that come in to not give out any information about anyone as they come in.","Edward Hines Jr. VA Hospital, 5000 5th Ave, Hines, IL 60141","ICE Sighting, Public Space Raid, Worksite Raid",,,,,,,,FSN,,
Chicago - Pilsen,9/14/2025 6:26pm,"09-14 Chicago - Pilsen-2333 S Cicero Ave, Cicero, IL 60804",9/14/2025 6:26pm,Sunday,8AM-4PM,,"Someone detained at Pep Boys/Menards on Cicero and 23rd.
From text message - 2 men were taken. 
Person seems to live at 5040 S Tripp. But the pickup is registered to 3901 S Kedzie
One of our RR members is with the pickup truck. South Side teams, have you heard about this?

Maroon F150 
Illinois License Plate - 4001198 B

Truck Title:  
Name: Herbiberto May Ramirez.  - 5029 S Fairfield 1st Fl Chicago Il  - Phone 773.414.6636
Mail in the car:  
Alexander Cisneros - 5040 - S Tripp Ave - Chicago Il 60632
Car Registered at : 3901 S. Kedzie ave

Our team got in touch with Heriberto’s daughter and son. There was a therapy folder in the car with their names on it. ?? Daughter is on the way to pick up truck.

","2333 S Cicero Ave, Cicero, IL 60804",Public Space Raid,,,Cicero/Berwyn,1,checked,,N/A,External,,
Chicago- North Lawndale,9/14/2025 5:30pm,09-14 Chicago- North Lawndale-Ogden and Kostner,9/14/2025 5:30pm,Sunday,8AM-4PM,,"Ice activity in Ogden and Kostner heading to 26th and Kostner

Turned out to be Security for the parade",Ogden and Kostner,"False, ICE Sighting",,,Little Village,0,,,N/A,,FSN,"2154127441440410405.jpg (https://airtable.com/app2TXxKiivWPOQhD/tbleSGdxRJEAB9bmO/recgpUgmDYMtEKGXv/fldaGdwvXDzEy6DEc/attIRPafyRl8dgS6G), 2570050076101786461.jpg (https://airtable.com/app2TXxKiivWPOQhD/tbleSGdxRJEAB9bmO/recgpUgmDYMtEKGXv/fldaGdwvXDzEy6DEc/attMLwnWzQtNdxqLi)"
Chicago - Little Village,9/14/2025 4:45pm,09-14 Chicago - Little Village-31st and Harding,9/14/2025 4:45pm,Sunday,8AM-4PM,,"SW team member confirmed person taken at 31st and Harding is calling it into the hotline. Car was abandoned and we were able to get name and info.

There was a separate incident regarding 30th and Harding that involved ICE picking up a couple on a walk.  This appears to be a different incident and involves a white pickup truck that was abandoned.  The video of this incident has been uploaded to this file. ",31st and Harding,ICE Sighting,,Pulling up cars,SW Suburbs,1,checked,,None Reported,RRT,,
Chicago - Little Village,9/14/2025 4:16pm,09-14 Chicago - Little Village-S Harding Ave & W 30th St.,9/14/2025 4:16pm,Sunday,8AM-4PM,,"FSN: ?? sighting in S Harding Ave & W 30th St. they officers had black vest and covered faces. They arrested 2 people who were walking they were a couple.
LVSD was sent.
From LVSD:   they were on a ford explorer and jeep cherokee black both of them without license plates. 4 agents",S Harding Ave & W 30th St.,ICE Sighting,,,Little Village,2,checked,,"Black Ford Explorer - No License Plate
Black Jeep Cherokee - No License Plate",FSN,,
Waukegan,9/14/2025 4:01pm,"09-14 Waukegan-W Glen Flora Ave & Jackson St,  Waukegan",9/14/2025 4:01pm,Sunday,8AM-4PM,,"FSN: caller calling to report ICE activity. He saw three vans with their emergency lights on driving south on Jackson Avenue and Glen Avenue Flora in Waukegan. He had no further information. This just happened.

RR - No sighting of vehicles. All clear. Jackson goes through one of the streets where today’s parade will be taking place in Waukegan.
","W Glen Flora Ave & Jackson St,  Waukegan","False, ICE Sighting",,,Waukegan,0,,,N/A,FSN,,
Cicero,9/14/2025 3:34pm,"09-14 Cicero-Cicero & Pershing
",9/14/2025 3:34pm,Sunday,8AM-4PM,,"9:34am - There have been multiple reports on fb about activity on Cicero near Pershing
9:54am - Sw team is not seeing anything and they’re talking to workers in the area. I’ll update if we have any news
10:08 - They retained someone on Pershing and Cicero - https://www.facebook.com/share/r/1CbxQAWBRA/
10:41 - Cicero-Berwyn RR team member & social worker on their way to Pershing & Cicero 
             Also just saw this live about the kids left at Pershing and Cicerohttps://www.facebook.com/share/v/1952k2jctS/?mibextid=wwXIfr
10:46 - I just spoke to a high school friend of the kids. Both parents were taken, two kids, both minors, were left with their 18 year old sibling who is undocumented. A 22 year old was   also in the car and was detained but was let go, he's also undocumented. A police officer was there afterward. 
A 22 year old was also detained but was let go. They took the dad and the mom. 
Trying to connect directly with the kids.

","Cicero & Pershing
",ICE Sighting,,Pulling up cars,Cicero/Berwyn,2,checked,,"Blue Ford Expedition - Maryland Plate - 7FM2594
SIlver SUV - License plate ending in 226",External,,
Melrose Park,9/14/2025 12:50pm,09-14 Melrose Park-N 20th Ave & Lake St,9/14/2025 12:50pm,Sunday,12AM-8AM,,"Fsn: Possible ice activity in Melrose Park. A black SUV with tinted windows has been parked at Lake and 20th Streets for at least 30 minutes, but no one has gotten out, according to the person who has several headlights on the vehicle.

One Melrose Park RRT member on their way

From RRT: Nothing. Within a couple blocks of 20th and Lake there are a couple of SUV’s parked, not near each other. Driver’s windows not tinted, no one in vehicles.
",N 20th Ave & Lake St,"False, ICE Sighting",,,Melrose Park/Oak Park,0,,,Black SUV,FSN,,
Chicago - Midway,9/14/2025 1:59am,09-11 Chicago - Midway-4944 s archer ave ,9/11/2025 2:30am,Thursday,4PM-12AM,,FSN: ICE in 4944 s archer ave Carlton inn Midway they think that maybe they are staying in this motel.,4944 s archer ave ,"ICE Sighting, Rumors",,,Chicago SWS,,,,,FSN,,
Burbank ,9/14/2025 1:55am,09-11 Burbank - Burbank police department on Cicero and 78th street,9/11/2025 2:12am,Thursday,4PM-12AM,,FSN Ice activity ice maybe working with Burbank police department on Cicero and 78th street. White ram truck behind police department when the police stopped someone. Ice officers had vest that said police but were different from police department, Burbank police department on Cicero and 78th street,"ICE Sighting, Rumors",,,SW Suburbs,,,,,FSN,,
River Forest,9/14/2025 1:53am,"09-11 River Forest-7245 Lake St, River Forest, IL 6030",9/11/2025 1:00am,Thursday,4PM-12AM,,"FSN: Ice sighting at 7245 Lake St, River Forest, IL 60305. It’s a Whole Foods and there is a homeland security truck in the parking lot. The team stated ""All clear. No truck and no one in WF or adjacent businesses report a sighting""","7245 Lake St, River Forest, IL 6030","False, ICE Sighting, Rumors",,,SW Suburbs,,checked,,,FSN,,
Chicago - Downtown,9/14/2025 1:51am,09-10 Chicago - Downtown-State and lake train stops,9/10/2025 11:37pm,Wednesday,4PM-12AM,,FSN: Ice sighting at the State and lake train stops at 5:15 in the outside platform. 2 officers not interacting with anyone. A volunteer on Clark and lake and she is reporting K9 officer + CPD,State and lake train stops,"False, ICE Sighting, Rumors",,,Other,,checked,,,FSN,,
Ingleside ,9/14/2025 1:49am,"09-10 Ingleside -Home Depot 
2731 Hartigan Rd, Ingleside, IL 60041",9/10/2025 11:16pm,Wednesday,4PM-12AM,,"FSN: Ice sighting en la Home Depot. 2731 Hartigan Rd, Ingleside, IL 6004. Unmarked tundra Toyota and 2 officers with black vest. From the team ""Lake County/Waukegan RR checked this out and there was no sign of the truck or men in vests at the Home Depot in Ingleside.""","Home Depot 
2731 Hartigan Rd, Ingleside, IL 60041","ICE Sighting, Rumors, False",,,Waukegan,,checked,,,FSN,,
East Chicago,9/14/2025 1:43am,09-10 East Chicago-Arnold Mireles academy  ,9/10/2025 10:11pm,Wednesday,4PM-12AM,,"FSN: Arnold Mireles academy, Ice agents were by the school area, and the school staff asked parents to come inside to take shelter. From the team: I’m at Mireles , there was a sighting of some people who could’ve been ICE on 90th and Escanaba. It’s kind of at the north West corner of the building. I spoke three of the people who were working outside as they’re letting the kids out People doing school safety work. One of them saw them, but he wasn’t close enough to do any real ID. other people hadn’t seen them but just heard reports and they said that people from the school went over to confront them and the posible agents drove away so who knows. I haven’t yet spoken to anybody who has seen them up close. I’ve only spoken to one person who was down the street and said that he saw them. He said it was a sedan so that’s what I’ve been able to tell I have not gone in the school. I don’t really feel comfortable going into the school to talk to anybody. It’s all kids are around. They said when they saw the that when they saw the possible ice vehicle, they told the kids to go back into the school that was in the last half hour or so and now the kids are getting out again or something. That’s when I know for now.",Arnold Mireles academy  ,"ICE Sighting, Rumors",,,East Chicago,,checked,,,FSN,,
East Chicago,9/14/2025 1:38am,09-10 East Chicago-S Commercial Ave & E 89th St,9/10/2025 10:10pm,Wednesday,4PM-12AM,,"FSN: Ice sighting, S Commercial Ave & E 89th St with 2 grey trucks with officers inside",S Commercial Ave & E 89th St,"ICE Sighting, Rumors",,,East Chicago,,,,,FSN,,
Bridgeview ,9/14/2025 1:37am,09-13 Bridgeview -9012 South Harlem avenue,9/13/2025 10:00pm,Saturday,4PM-12AM,,"FSN: caller reported this message ""Hey there, I just wanted to give you guys a call cuz there's an unmarked ford Explorer black sitting in the parking lot of 9012 South harlem avenue in bridgeview. I don't know if it's ice or not, but I can't find a plate. And it's just sitting here in a very densely populated arabic neighborhood"" ",9012 South Harlem avenue,"ICE Sighting, Rumors",,,SW Suburbs,,,,,FSN,,
Chicago Albany Park,9/14/2025 1:33am,09-10 Chicago Albany Park-3347 ON EASTWOOD ,9/10/2025 9:48pm,Wednesday,8AM-4PM,,ICE SIGHTING OR THE CALLER CANT CONFIRM IF ITS ICE AGENTS OR CPD UNDERCOVER IN ALBANY PARK MP PLATES16045 BLK FORD SUV 3347 ON EASTWOOD 2 OR 3 HOUSES DOWN GOING EAST IN TAN CLOTHING (MEN)PLATE#16045 NEAR ROOSEAVELT HS. Confirmed it was CPD,3347 ON EASTWOOD ,"ICE Sighting, Rumors, False",,,Albany Park,,checked,,PLATE#16045 ,FSN,,
Chicago - McKinley Park,9/13/2025 6:00pm,09-13 Chicago - McKinley Park-Damen and 33rd near 1940 W 33rd St,9/13/2025 6:00pm,Saturday,8AM-4PM,,FSN: Caller saw two ICE trucks parked under bridge. black vehicles with federal plates. caller was getting on expressway at damen near 33rd st near target at 1940 W 33rd caller didn't see any agents was driving so couldn't see much. SWS RRT responded and did not see any suspicious activity,Damen and 33rd near 1940 W 33rd St,Rumors,,,Chicago SWS,,,,,FSN,,
Chicago - Back of the Yards,9/13/2025 4:00pm,09-13 Chicago - Back of the Yards-47th and Paulina ,9/13/2025 4:00pm,Saturday,8AM-4PM,,"Facebook post includes video that shows similar vehicles in the still image to the ones who carried out an abduction in the Aviation Institute parking lot. I was not able to access the original post, it may have been removed from the facebook group where it was posted. Comments on a post about the other event had also mentioned seeing the same vehicles at 47th and Paulina. SWS RRT responded, as well as the Pilsen RRT member who had been at the previous abduction. SWS reports 4 CPD cars on site at 47th and Paulina, which turned out to be for an unrelated matter. RRT confirmed that ICE detained 4 individuals around 10AM at 47th and Paulina. The car was left behind and neighbors were watching it. Found mail in the car with the at least one community member's address and SW team would go to that address to notify the family. One individual who was detained was a US citizen and was released. ",47th and Paulina ,"ICE Sighting, Public Space Raid",,Pulling up cars,Chicago SWS,4,checked,,"Two Ford SUVs, one light gray/silver and one dark gray or black. ",External,,
Chicago - Pilsen,9/13/2025 3:30pm,09-13 Chicago - Pilsen-37th and Ashland,9/13/2025 3:00pm,Saturday,8AM-4PM,,"FSN: Ice sighting at 37 and Ashland. Grey truck pulled over a Hispanic man in a white truck. IT was 1 agent out of the car it is unknown if there was another one in the car. The agend had a black vest that said federal agent. This was at 9:12am Caller called back around 9am to say one person is definitely getting detained they won't let him go. Follow up call that cars have Texas plates and may be heading north on Ashland at 9:35AM. Video added to facebook post seems to show the stop. Taken from a moving vehicle, so couldn't catch plate numbers. Seems to show two Ford SUVs, one white and one gray/silver, pulling over a white pick up truck. An agent in black clothing with a black vest and a tan hat turned backwards. Possible second agent detaining a community member o nthe sidewalk but obstructed from clear view by the vehiclea. A commenter reported seeing the same agents at 47th and Paulina. 

Pilsen RRT arrived on site and reported that agents seemed to be gathering in the parking lot of the aviation institute at 3711 S Ashland. Captured video of 3-4 agents seeming to detain community member in the back of a blue Ford Expedition SUV with TX plates RFP 5294

RRT was able to connect with neice of the man abducted at this location. He had been sharing his phone location with her from the ICE car until his phone was taken away when the vehicle was somewhere near Brookfield Zoo. Niece reports that uncle was on visa from Mexico but was driving two undocumented people from Venezuela to drop them off at work. They took all three people. RRT worked to connect family with legal resources. phone data showed that they ended up at Broadview",37th and Ashland,"ICE Sighting, Public Space Raid",,,Pilsen,3,checked,,blue Ford Expedition SUV with TX plates RFP 5294,FSN,,
Chicago - West Lawn,9/13/2025 2:30pm,09-13 Chicago - West Lawn-3525 W 63rd st. ,9/13/2025 2:00pm,Saturday,8AM-4PM,,"FSN: 3525 W 63rd at US bank parking lot black honda with florida plates whilte caller was driving after she continued to her house 66th and troy white car with virginia plate. SW RRT followed up after clarification on location. Only one car in the parking lot, civilians inside hadn't seen anything. Team shared KYR",3525 W 63rd st. ,"Rumors, ICE Sighting",,,Chicago SWS,,,,,FSN,,
Chicago - Armour Square,9/13/2025 2:00pm,09-13 Chicago - Armour Square-S Dearborn and S. Federal,9/13/2025 2:00pm,Saturday,8AM-4PM,,"FSN: Dearborn street in Chocago. I was on the 6th floor and I was looking out the window and I noticed there was a ICE vehicle at the very top of the garage. There is a garage forner on either the wells fargo west or south federal street. it's next to a BP at the very top of the garage. I see, hold on, I'm pretty sure just a parking garage to this residential. people coming in and out. but there sitting very top. I could be wrong. But I see big yellow letters ram.""  

Did not see that any RRT was able to follow up on this. ",S Dearborn and S. Federal,"Rumors, ICE Sighting",,,,,,,,FSN,,
Chicago - La Villita,9/13/2025 1:00pm,09-13 Chicago - La Villita-28th and Cicero at Home Depot ,9/13/2025 12:30pm,Saturday,12AM-8AM,,"Social media post was originally in Spanish. ""Good morning. I just drove by 28th and Cicero and they have detained someone in a parking lot in front of Sam's and Home Depot. It seems to me that the parking lot is where a currency exchange is. This was around 6:28am. Be careful if you drive through the area."" Commenters wrote ""confirmed. I just drove by and they had a van stopped, two ICE trucks."" ""when I dropve by, they had a black SUV stopped"" RRT member went to check the location around 7:30 but had missed the vehicles. ",28th and Cicero at Home Depot ,"Rumors, ICE Sighting, Public Space Raid",,,Little Village,,,,,External,,
Chicago - Lakeview,9/13/2025 1:38am,09-10 Chicago - Lakeview- Lakeview HS,9/10/2025 9:14pm,Wednesday,8AM-4PM,,"also flagging for tracking purposes:
This morning students at Lakeview HS saw unmarked SUVs in front of the school & across the street at Pop Eyes. The principal didn’t want to alert but did reach out to the 47th ward office who just reached out to us. They’re asking for folks in the network to go after school & tomorrow morning to canvass the area but keep the stuff from this morning on the down low.
we checked it out and haven't seen any suspicious vehicles, but I wouldn't consider this verified because this came to us too late", Lakeview HS,"ICE Sighting, Rumors",,,Other,,checked,,,RRT,,
Harvey/Dixmore IL,9/13/2025 1:35am,09-10 Harvey/Dixmore IL-Lincoln School ,9/10/2025 9:06pm,Wednesday,8AM-4PM,,"FSN:CALLER REPORTING ICE ACTIVITY IN HARVEY DIXMORE IL THEY SAW MEN IN TACTICAL GEAR HEAVY PRESNECE NEXT TO LINCLON SCHOOL. According to BI, this is likely just somebody calling in a social media post from earlier that day. ",Lincoln School ,"ICE Sighting, Rumors",,,SW Suburbs,,,,,FSN,,
Evanston ,9/13/2025 1:32am,"09-10 Evanston -418 Lake Street, Evanston, IL 60201. ",9/10/2025 9:00pm,Wednesday,8AM-4PM,,"FSM caller REPORTED :Cherry Preschool in Evanston is a 501c3 organization located at 1418 Lake Street, Evanston, IL 60201. Heavy ice agent presence fb parent group chat parents are being told to avoid that area no description of the Make or models of the car just that there is a lot of heavy presence there","418 Lake Street, Evanston, IL 60201. ","ICE Sighting, Rumors",,,Evanston,,,,,FSN,,
Oak Lawn,9/13/2025 12:49am,09-10 Oak Lawn-87th and Harlem ,9/10/2025 8:55pm,Wednesday,8AM-4PM,,"FSN:CALLER REPORTED 87TH AND HARLM BRIDGEVIEW, OAK LAWN 95TH 
ICE ACTIVITY HOWEVER THIS WAS A WEAK SOURSE SINCE IT WAS OBTAINED BY SOCIAL MEDIA REPORTS",87th and Harlem ,"ICE Sighting, Rumors",,,SW Suburbs,,,,,FSN,,
